	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
147	6	10	1.58	1.50	75.0	90.9090909090909	22	1550
148	6	10	1.58	1.50	75.0	90.9090909090909	23	1550
149	6	10	1.58	1.50	75.0	90.9090909090909	24	1550
150	4	8	3.54	3.50	50.0	72.72727272727273	25	1550
151	3	6	5.00	5.00	37.5	54.54545454545455	26	1550
152	2	4	6.52	6.50	25.0	36.36363636363637	27	1550
153	2	4	6.52	6.50	25.0	36.36363636363637	28	1550
154	2	4	6.52	6.50	25.0	36.36363636363637	29	1550
155	2	4	6.52	6.50	25.0	36.36363636363637	30	1550
156	9	15	2.92	2.50	87.5	63.63636363636363	18	1600
157	9	15	2.92	2.50	87.5	63.63636363636363	19	1600
158	9	14	2.24	2.00	87.5	72.72727272727273	20	1600
159	7	10	1.00	1.00	87.5	90.9090909090909	21	1600
160	6	10	1.58	1.50	75.0	90.9090909090909	22	1600
161	6	10	1.58	1.50	75.0	90.9090909090909	23	1600
162	6	10	1.58	1.50	75.0	90.9090909090909	24	1600
163	4	8	3.54	3.50	50.0	72.72727272727273	25	1600
164	3	6	5.00	5.00	37.5	54.54545454545455	26	1600
165	2	4	6.52	6.50	25.0	36.36363636363637	27	1600
166	2	4	6.52	6.50	25.0	36.36363636363637	28	1600
167	2	4	6.52	6.50	25.0	36.36363636363637	29	1600
168	2	4	6.52	6.50	25.0	36.36363636363637	30	1600
169	9	15	2.92	2.50	87.5	63.63636363636363	18	1650
170	9	15	2.92	2.50	87.5	63.63636363636363	19	1650
171	9	14	2.24	2.00	87.5	72.72727272727273	20	1650
172	7	10	1.00	1.00	87.5	90.9090909090909	21	1650
173	6	10	1.58	1.50	75.0	90.9090909090909	22	1650
174	6	10	1.58	1.50	75.0	90.9090909090909	23	1650
175	6	10	1.58	1.50	75.0	90.9090909090909	24	1650
176	4	8	3.54	3.50	50.0	72.72727272727273	25	1650
177	3	6	5.00	5.00	37.5	54.54545454545455	26	1650
178	2	4	6.52	6.50	25.0	36.36363636363637	27	1650
179	2	4	6.52	6.50	25.0	36.36363636363637	28	1650
180	2	4	6.52	6.50	25.0	36.36363636363637	29	1650
181	2	4	6.52	6.50	25.0	36.36363636363637	30	1650
182	9	15	2.92	2.50	87.5	63.63636363636363	18	1700
183	9	15	2.92	2.50	87.5	63.63636363636363	19	1700
184	9	14	2.24	2.00	87.5	72.72727272727273	20	1700
185	7	10	1.00	1.00	87.5	90.9090909090909	21	1700
186	6	10	1.58	1.50	75.0	90.9090909090909	22	1700
187	6	10	1.58	1.50	75.0	90.9090909090909	23	1700
188	6	10	1.58	1.50	75.0	90.9090909090909	24	1700
