	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
184	8	6	3.54	2.50	100.0	54.54545454545455	700	1400
185	8	7	2.83	2.00	100.0	63.63636363636363	750	1400
186	8	7	2.83	2.00	100.0	63.63636363636363	800	1400
187	8	7	2.83	2.00	100.0	63.63636363636363	850	1400
188	8	7	2.83	2.00	100.0	63.63636363636363	900	1400
189	8	7	2.83	2.00	100.0	63.63636363636363	950	1400
190	8	7	2.83	2.00	100.0	63.63636363636363	1000	1400
191	8	7	2.83	2.00	100.0	63.63636363636363	1050	1400
192	8	7	2.83	2.00	100.0	63.63636363636363	1100	1400
193	8	7	2.83	2.00	100.0	63.63636363636363	1150	1400
194	8	7	2.83	2.00	100.0	63.63636363636363	1200	1400
195	8	6	3.54	2.50	100.0	54.54545454545455	500	1450
196	8	7	2.83	2.00	100.0	63.63636363636363	550	1450
197	8	7	2.83	2.00	100.0	63.63636363636363	600	1450
198	9	7	2.92	2.50	87.5	63.63636363636363	650	1450
199	9	7	2.92	2.50	87.5	63.63636363636363	700	1450
200	9	8	2.24	2.00	87.5	72.72727272727273	750	1450
201	9	8	2.24	2.00	87.5	72.72727272727273	800	1450
202	9	8	2.24	2.00	87.5	72.72727272727273	850	1450
203	9	8	2.24	2.00	87.5	72.72727272727273	900	1450
204	9	8	2.24	2.00	87.5	72.72727272727273	950	1450
205	9	8	2.24	2.00	87.5	72.72727272727273	1000	1450
206	9	8	2.24	2.00	87.5	72.72727272727273	1050	1450
207	9	8	2.24	2.00	87.5	72.72727272727273	1100	1450
208	9	8	2.24	2.00	87.5	72.72727272727273	1150	1450
209	9	8	2.24	2.00	87.5	72.72727272727273	1200	1450
210	8	6	3.54	2.50	100.0	54.54545454545455	500	1500
211	8	7	2.83	2.00	100.0	63.63636363636363	550	1500
212	8	7	2.83	2.00	100.0	63.63636363636363	600	1500
213	9	7	2.92	2.50	87.5	63.63636363636363	650	1500
214	9	7	2.92	2.50	87.5	63.63636363636363	700	1500
215	9	8	2.24	2.00	87.5	72.72727272727273	750	1500
216	9	8	2.24	2.00	87.5	72.72727272727273	800	1500
217	9	8	2.24	2.00	87.5	72.72727272727273	850	1500
218	9	8	2.24	2.00	87.5	72.72727272727273	900	1500
219	9	8	2.24	2.00	87.5	72.72727272727273	950	1500
220	9	8	2.24	2.00	87.5	72.72727272727273	1000	1500
