	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
122	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	1050
123	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	1050
124	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	1050
125	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	1050
126	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	1050
127	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	1050
128	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	1050
129	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	1050
130	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	1100
131	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	1100
132	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	1100
133	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	1100
134	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	1100
135	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	1100
136	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	1100
137	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	1100
138	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	1100
139	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	1100
140	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	1100
141	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	1100
142	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	1100
143	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	1150
144	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	1150
145	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	1150
146	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	1150
147	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	1150
148	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	1150
149	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	1150
150	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	1150
151	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	1150
152	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	1150
153	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	1150
154	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	1150
155	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	1150
156	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	1200
157	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	1200
158	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	1200
159	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	1200
160	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	1200
161	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	1200
162	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	1200
163	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	1200
164	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	1200
165	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	1200
166	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	1200
167	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	1200
168	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	1200
169	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	1250
170	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	1250
171	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	1250
172	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	1250
173	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	1250
174	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	1250
175	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	1250
176	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	1250
177	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	1250
178	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	1250
179	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	1250
180	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	1250
181	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	1250
182	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	1300
183	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	1300
184	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	1300
185	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	1300
186	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	1300
187	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	1300
188	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	1300
189	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	1300
190	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	1300
191	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	1300
192	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	1300
193	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	1300
194	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	1300
195	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	1350
196	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	1350
197	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	1350
198	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	1350
199	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	1350
200	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	1350
201	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	1350
202	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	1350
