	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
139	2	5	5.52	5.50	25.0	50.0	25	1600
140	1	4	6.52	6.50	12.5	40.0	26	1600
141	0	2	8.00	8.00	0.0	20.0	27	1600
142	0	2	8.00	8.00	0.0	20.0	28	1600
143	5	10	2.12	1.50	62.5	100.0	18	1650
144	5	10	2.12	1.50	62.5	100.0	19	1650
145	5	9	2.24	2.00	62.5	90.0	20	1650
146	4	6	4.00	4.00	50.0	60.0	21	1650
147	4	6	4.00	4.00	50.0	60.0	22	1650
148	4	6	4.00	4.00	50.0	60.0	23	1650
149	4	6	4.00	4.00	50.0	60.0	24	1650
150	2	5	5.52	5.50	25.0	50.0	25	1650
151	1	4	6.52	6.50	12.5	40.0	26	1650
152	0	2	8.00	8.00	0.0	20.0	27	1650
153	0	2	8.00	8.00	0.0	20.0	28	1650
154	5	10	2.12	1.50	62.5	100.0	18	1700
155	5	10	2.12	1.50	62.5	100.0	19	1700
156	5	9	2.24	2.00	62.5	90.0	20	1700
157	4	6	4.00	4.00	50.0	60.0	21	1700
158	4	6	4.00	4.00	50.0	60.0	22	1700
159	4	6	4.00	4.00	50.0	60.0	23	1700
160	4	6	4.00	4.00	50.0	60.0	24	1700
161	2	5	5.52	5.50	25.0	50.0	25	1700
162	1	4	6.52	6.50	12.5	40.0	26	1700
163	0	2	8.00	8.00	0.0	20.0	27	1700
164	0	2	8.00	8.00	0.0	20.0	28	1700
165	5	10	2.12	1.50	62.5	100.0	18	1750
166	5	10	2.12	1.50	62.5	100.0	19	1750
167	5	9	2.24	2.00	62.5	90.0	20	1750
168	4	6	4.00	4.00	50.0	60.0	21	1750
169	4	6	4.00	4.00	50.0	60.0	22	1750
170	4	6	4.00	4.00	50.0	60.0	23	1750
171	4	6	4.00	4.00	50.0	60.0	24	1750
172	2	5	5.52	5.50	25.0	50.0	25	1750
173	1	4	6.52	6.50	12.5	40.0	26	1750
174	0	2	8.00	8.00	0.0	20.0	27	1750
175	0	2	8.00	8.00	0.0	20.0	28	1750
176	5	10	2.12	1.50	62.5	100.0	18	1800
177	5	10	2.12	1.50	62.5	100.0	19	1800
178	5	9	2.24	2.00	62.5	90.0	20	1800
179	4	6	4.00	4.00	50.0	60.0	21	1800
180	4	6	4.00	4.00	50.0	60.0	22	1800
181	4	6	4.00	4.00	50.0	60.0	23	1800
182	4	6	4.00	4.00	50.0	60.0	24	1800
183	2	5	5.52	5.50	25.0	50.0	25	1800
184	1	4	6.52	6.50	12.5	40.0	26	1800
185	0	2	8.00	8.00	0.0	20.0	27	1800
186	0	2	8.00	8.00	0.0	20.0	28	1800
187	5	10	2.12	1.50	62.5	100.0	18	1850
188	5	10	2.12	1.50	62.5	100.0	19	1850
189	5	9	2.24	2.00	62.5	90.0	20	1850
190	4	6	4.00	4.00	50.0	60.0	21	1850
191	4	6	4.00	4.00	50.0	60.0	22	1850
192	4	6	4.00	4.00	50.0	60.0	23	1850
193	4	6	4.00	4.00	50.0	60.0	24	1850
194	2	5	5.52	5.50	25.0	50.0	25	1850
195	1	4	6.52	6.50	12.5	40.0	26	1850
196	0	2	8.00	8.00	0.0	20.0	27	1850
197	0	2	8.00	8.00	0.0	20.0	28	1850
198	5	10	2.12	1.50	62.5	100.0	18	1900
199	5	10	2.12	1.50	62.5	100.0	19	1900
200	5	9	2.24	2.00	62.5	90.0	20	1900
201	4	6	4.00	4.00	50.0	60.0	21	1900
202	4	6	4.00	4.00	50.0	60.0	22	1900
203	4	6	4.00	4.00	50.0	60.0	23	1900
204	4	6	4.00	4.00	50.0	60.0	24	1900
205	2	5	5.52	5.50	25.0	50.0	25	1900
206	1	4	6.52	6.50	12.5	40.0	26	1900
207	0	2	8.00	8.00	0.0	20.0	27	1900
208	0	2	8.00	8.00	0.0	20.0	28	1900
