	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
180	8	5	3.54	2.50	100.0	50.0	1150	1450
181	8	5	3.54	2.50	100.0	50.0	1200	1450
182	7	4	4.30	3.50	87.5	40.0	600	1500
183	8	4	4.24	3.00	100.0	40.0	650	1500
184	8	4	4.24	3.00	100.0	40.0	700	1500
185	8	5	3.54	2.50	100.0	50.0	750	1500
186	8	5	3.54	2.50	100.0	50.0	800	1500
187	8	5	3.54	2.50	100.0	50.0	850	1500
188	8	5	3.54	2.50	100.0	50.0	900	1500
189	8	5	3.54	2.50	100.0	50.0	950	1500
190	8	5	3.54	2.50	100.0	50.0	1000	1500
191	8	5	3.54	2.50	100.0	50.0	1050	1500
192	8	5	3.54	2.50	100.0	50.0	1100	1500
193	8	5	3.54	2.50	100.0	50.0	1150	1500
194	8	5	3.54	2.50	100.0	50.0	1200	1500
195	7	4	4.30	3.50	87.5	40.0	600	1550
196	8	4	4.24	3.00	100.0	40.0	650	1550
197	8	4	4.24	3.00	100.0	40.0	700	1550
198	8	5	3.54	2.50	100.0	50.0	750	1550
199	8	5	3.54	2.50	100.0	50.0	800	1550
200	8	5	3.54	2.50	100.0	50.0	850	1550
201	8	5	3.54	2.50	100.0	50.0	900	1550
202	8	5	3.54	2.50	100.0	50.0	950	1550
203	8	5	3.54	2.50	100.0	50.0	1000	1550
204	8	5	3.54	2.50	100.0	50.0	1050	1550
205	8	5	3.54	2.50	100.0	50.0	1100	1550
206	8	5	3.54	2.50	100.0	50.0	1150	1550
207	8	5	3.54	2.50	100.0	50.0	1200	1550
208	7	4	4.30	3.50	87.5	40.0	600	1600
209	8	4	4.24	3.00	100.0	40.0	650	1600
210	8	4	4.24	3.00	100.0	40.0	700	1600
211	8	5	3.54	2.50	100.0	50.0	750	1600
212	8	5	3.54	2.50	100.0	50.0	800	1600
213	8	5	3.54	2.50	100.0	50.0	850	1600
214	8	5	3.54	2.50	100.0	50.0	900	1600
215	8	5	3.54	2.50	100.0	50.0	950	1600
216	8	5	3.54	2.50	100.0	50.0	1000	1600
217	8	5	3.54	2.50	100.0	50.0	1050	1600
218	8	5	3.54	2.50	100.0	50.0	1100	1600
219	8	5	3.54	2.50	100.0	50.0	1150	1600
220	8	5	3.54	2.50	100.0	50.0	1200	1600
221	7	4	4.30	3.50	87.5	40.0	600	1650
222	8	4	4.24	3.00	100.0	40.0	650	1650
223	8	4	4.24	3.00	100.0	40.0	700	1650
224	8	5	3.54	2.50	100.0	50.0	750	1650
225	8	5	3.54	2.50	100.0	50.0	800	1650
226	8	5	3.54	2.50	100.0	50.0	850	1650
227	8	5	3.54	2.50	100.0	50.0	900	1650
228	8	5	3.54	2.50	100.0	50.0	950	1650
229	8	5	3.54	2.50	100.0	50.0	1000	1650
230	8	5	3.54	2.50	100.0	50.0	1050	1650
231	8	5	3.54	2.50	100.0	50.0	1100	1650
232	8	5	3.54	2.50	100.0	50.0	1150	1650
233	8	5	3.54	2.50	100.0	50.0	1200	1650
234	7	4	4.30	3.50	87.5	40.0	600	1700
235	8	4	4.24	3.00	100.0	40.0	650	1700
236	8	4	4.24	3.00	100.0	40.0	700	1700
237	8	5	3.54	2.50	100.0	50.0	750	1700
238	8	5	3.54	2.50	100.0	50.0	800	1700
239	8	5	3.54	2.50	100.0	50.0	850	1700
240	8	5	3.54	2.50	100.0	50.0	900	1700
241	8	5	3.54	2.50	100.0	50.0	950	1700
242	8	5	3.54	2.50	100.0	50.0	1000	1700
243	8	5	3.54	2.50	100.0	50.0	1050	1700
244	8	5	3.54	2.50	100.0	50.0	1100	1700
245	8	5	3.54	2.50	100.0	50.0	1150	1700
246	8	5	3.54	2.50	100.0	50.0	1200	1700
247	7	4	4.30	3.50	87.5	40.0	600	1750
248	8	4	4.24	3.00	100.0	40.0	650	1750
249	8	4	4.24	3.00	100.0	40.0	700	1750
250	8	5	3.54	2.50	100.0	50.0	750	1750
251	8	5	3.54	2.50	100.0	50.0	800	1750
252	8	5	3.54	2.50	100.0	50.0	850	1750
253	8	5	3.54	2.50	100.0	50.0	900	1750
254	8	5	3.54	2.50	100.0	50.0	950	1750
255	8	5	3.54	2.50	100.0	50.0	1000	1750
256	8	5	3.54	2.50	100.0	50.0	1050	1750
257	8	5	3.54	2.50	100.0	50.0	1100	1750
258	8	5	3.54	2.50	100.0	50.0	1150	1750
259	8	5	3.54	2.50	100.0	50.0	1200	1750
