	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
150	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1650
151	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1650
152	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1650
153	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1650
154	13	12	0.71	0.50	100.0	90.9090909090909	18	1700
155	13	12	0.71	0.50	100.0	90.9090909090909	19	1700
156	10	11	2.12	1.50	76.92307692307692	100.0	20	1700
157	9	10	2.92	2.50	69.23076923076923	90.9090909090909	21	1700
158	6	10	5.00	4.00	46.15384615384615	90.9090909090909	22	1700
159	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1700
160	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1700
161	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1700
162	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1700
163	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1700
164	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1700
165	13	12	0.71	0.50	100.0	90.9090909090909	18	1750
166	13	12	0.71	0.50	100.0	90.9090909090909	19	1750
167	10	11	2.12	1.50	76.92307692307692	100.0	20	1750
168	9	10	2.92	2.50	69.23076923076923	90.9090909090909	21	1750
169	6	10	5.00	4.00	46.15384615384615	90.9090909090909	22	1750
170	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1750
171	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1750
172	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1750
173	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1750
174	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1750
175	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1750
176	13	12	0.71	0.50	100.0	90.9090909090909	18	1800
177	13	12	0.71	0.50	100.0	90.9090909090909	19	1800
178	10	11	2.12	1.50	76.92307692307692	100.0	20	1800
179	9	10	2.92	2.50	69.23076923076923	90.9090909090909	21	1800
180	6	10	5.00	4.00	46.15384615384615	90.9090909090909	22	1800
181	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1800
182	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1800
183	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1800
184	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1800
185	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1800
186	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1800
187	13	12	0.71	0.50	100.0	90.9090909090909	18	1850
188	13	12	0.71	0.50	100.0	90.9090909090909	19	1850
189	10	11	2.12	1.50	76.92307692307692	100.0	20	1850
190	9	10	2.92	2.50	69.23076923076923	90.9090909090909	21	1850
191	6	10	5.00	4.00	46.15384615384615	90.9090909090909	22	1850
192	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1850
193	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1850
194	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1850
195	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1850
196	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1850
197	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1850
198	13	13	1.41	1.00	100.0	81.81818181818181	18	1900
199	13	13	1.41	1.00	100.0	81.81818181818181	19	1900
200	10	12	2.24	2.00	76.92307692307692	90.9090909090909	20	1900
201	9	11	2.83	2.00	69.23076923076923	100.0	21	1900
202	6	11	4.95	3.50	46.15384615384615	100.0	22	1900
203	6	11	4.95	3.50	46.15384615384615	100.0	23	1900
204	6	8	5.39	5.00	46.15384615384615	72.72727272727273	24	1900
205	5	6	6.67	6.50	38.46153846153846	54.54545454545455	25	1900
206	5	4	7.52	7.50	38.46153846153846	36.36363636363637	26	1900
207	5	4	7.52	7.50	38.46153846153846	36.36363636363637	27	1900
208	5	4	7.52	7.50	38.46153846153846	36.36363636363637	28	1900
