	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	enough_zero	delta
36	1	0	2.55	2.50	25.00	25.00	32	1250
37	1	0	2.55	2.50	25.00	25.00	33	1250
38	5	6	2.92	2.50	80.00	40.00	15	1300
39	5	6	2.92	2.50	80.00	40.00	16	1300
40	5	6	2.92	2.50	80.00	40.00	17	1300
41	5	6	2.92	2.50	80.00	40.00	18	1300
42	5	6	2.92	2.50	80.00	40.00	19	1300
43	5	5	2.24	2.00	80.00	40.00	20	1300
44	4	4	1.41	1.00	100.00	50.00	21	1300
45	4	4	1.41	1.00	100.00	50.00	22	1300
46	4	4	1.41	1.00	100.00	50.00	23	1300
47	4	3	0.71	0.50	100.00	50.00	24	1300
48	3	3	1.00	1.00	75.00	66.67	25	1300
49	3	2	0.71	0.50	75.00	75.00	26	1300
50	3	2	0.71	0.50	75.00	75.00	27	1300
51	3	2	0.71	0.50	75.00	75.00	28	1300
52	3	2	0.71	0.50	75.00	75.00	29	1300
53	2	1	1.58	1.50	50.00	50.00	30	1300
54	1	1	2.24	2.00	25.00	25.00	31	1300
55	1	0	2.55	2.50	25.00	25.00	32	1300
56	1	0	2.55	2.50	25.00	25.00	33	1300
57	5	6	2.92	2.50	80.00	40.00	15	1350
58	5	6	2.92	2.50	80.00	40.00	16	1350
59	5	6	2.92	2.50	80.00	40.00	17	1350
60	5	6	2.92	2.50	80.00	40.00	18	1350
61	5	6	2.92	2.50	80.00	40.00	19	1350
62	5	5	2.24	2.00	80.00	40.00	20	1350
63	4	4	1.41	1.00	100.00	50.00	21	1350
64	4	4	1.41	1.00	100.00	50.00	22	1350
65	4	4	1.41	1.00	100.00	50.00	23	1350
66	4	3	0.71	0.50	100.00	50.00	24	1350
67	3	3	1.00	1.00	75.00	66.67	25	1350
68	3	2	0.71	0.50	75.00	75.00	26	1350
69	3	2	0.71	0.50	75.00	75.00	27	1350
70	3	2	0.71	0.50	75.00	75.00	28	1350
71	3	2	0.71	0.50	75.00	75.00	29	1350
72	2	1	1.58	1.50	50.00	50.00	30	1350
73	1	1	2.24	2.00	25.00	25.00	31	1350
74	1	0	2.55	2.50	25.00	25.00	32	1350
75	1	0	2.55	2.50	25.00	25.00	33	1350
76	5	6	2.92	2.50	80.00	40.00	15	1400
77	5	6	2.92	2.50	80.00	40.00	16	1400
78	5	6	2.92	2.50	80.00	40.00	17	1400
79	5	6	2.92	2.50	80.00	40.00	18	1400
80	5	6	2.92	2.50	80.00	40.00	19	1400
81	5	5	2.24	2.00	80.00	40.00	20	1400
82	4	4	1.41	1.00	100.00	50.00	21	1400
83	4	4	1.41	1.00	100.00	50.00	22	1400
84	4	4	1.41	1.00	100.00	50.00	23	1400
85	4	3	0.71	0.50	100.00	50.00	24	1400
86	3	3	1.00	1.00	75.00	66.67	25	1400
87	3	2	0.71	0.50	75.00	75.00	26	1400
88	3	2	0.71	0.50	75.00	75.00	27	1400
89	3	2	0.71	0.50	75.00	75.00	28	1400
90	3	2	0.71	0.50	75.00	75.00	29	1400
91	2	1	1.58	1.50	50.00	50.00	30	1400
92	1	1	2.24	2.00	25.00	25.00	31	1400
93	1	0	2.55	2.50	25.00	25.00	32	1400
94	1	0	2.55	2.50	25.00	25.00	33	1400
95	5	6	2.92	2.50	80.00	40.00	15	1450
96	5	6	2.92	2.50	80.00	40.00	16	1450
97	5	6	2.92	2.50	80.00	40.00	17	1450
98	5	6	2.92	2.50	80.00	40.00	18	1450
99	5	6	2.92	2.50	80.00	40.00	19	1450
100	5	5	2.24	2.00	80.00	40.00	20	1450
101	4	4	1.41	1.00	100.00	50.00	21	1450
102	4	4	1.41	1.00	100.00	50.00	22	1450
103	4	4	1.41	1.00	100.00	50.00	23	1450
104	4	3	0.71	0.50	100.00	50.00	24	1450
105	3	3	1.00	1.00	75.00	66.67	25	1450
106	3	2	0.71	0.50	75.00	75.00	26	1450
107	3	2	0.71	0.50	75.00	75.00	27	1450
108	3	2	0.71	0.50	75.00	75.00	28	1450
109	3	2	0.71	0.50	75.00	75.00	29	1450
110	2	1	1.58	1.50	50.00	50.00	30	1450
111	1	1	2.24	2.00	25.00	25.00	31	1450
112	1	0	2.55	2.50	25.00	25.00	32	1450
113	1	0	2.55	2.50	25.00	25.00	33	1450
114	5	6	2.92	2.50	80.00	40.00	15	1500
115	5	6	2.92	2.50	80.00	40.00	16	1500
116	5	6	2.92	2.50	80.00	40.00	17	1500
117	5	6	2.92	2.50	80.00	40.00	18	1500
118	5	6	2.92	2.50	80.00	40.00	19	1500
119	5	5	2.24	2.00	80.00	40.00	20	1500
120	4	4	1.41	1.00	100.00	50.00	21	1500
121	4	4	1.41	1.00	100.00	50.00	22	1500
122	4	4	1.41	1.00	100.00	50.00	23	1500
123	4	3	0.71	0.50	100.00	50.00	24	1500
124	3	3	1.00	1.00	75.00	66.67	25	1500
125	3	2	0.71	0.50	75.00	75.00	26	1500
126	3	2	0.71	0.50	75.00	75.00	27	1500
127	3	2	0.71	0.50	75.00	75.00	28	1500
128	3	2	0.71	0.50	75.00	75.00	29	1500
129	2	1	1.58	1.50	50.00	50.00	30	1500
130	1	1	2.24	2.00	25.00	25.00	31	1500
131	1	0	2.55	2.50	25.00	25.00	32	1500
132	1	0	2.55	2.50	25.00	25.00	33	1500
133	5	6	2.92	2.50	80.00	40.00	15	1550
134	5	6	2.92	2.50	80.00	40.00	16	1550
135	5	6	2.92	2.50	80.00	40.00	17	1550
136	5	6	2.92	2.50	80.00	40.00	18	1550
137	5	6	2.92	2.50	80.00	40.00	19	1550
138	5	5	2.24	2.00	80.00	40.00	20	1550
139	4	4	1.41	1.00	100.00	50.00	21	1550
140	4	4	1.41	1.00	100.00	50.00	22	1550
141	4	4	1.41	1.00	100.00	50.00	23	1550
142	4	3	0.71	0.50	100.00	50.00	24	1550
143	3	3	1.00	1.00	75.00	66.67	25	1550
144	3	2	0.71	0.50	75.00	75.00	26	1550
145	3	2	0.71	0.50	75.00	75.00	27	1550
146	3	2	0.71	0.50	75.00	75.00	28	1550
147	3	2	0.71	0.50	75.00	75.00	29	1550
148	2	1	1.58	1.50	50.00	50.00	30	1550
149	1	1	2.24	2.00	25.00	25.00	31	1550
150	1	0	2.55	2.50	25.00	25.00	32	1550
151	1	0	2.55	2.50	25.00	25.00	33	1550
152	5	6	2.92	2.50	80.00	40.00	15	1600
153	5	6	2.92	2.50	80.00	40.00	16	1600
154	5	6	2.92	2.50	80.00	40.00	17	1600
155	5	6	2.92	2.50	80.00	40.00	18	1600
156	5	6	2.92	2.50	80.00	40.00	19	1600
157	5	5	2.24	2.00	80.00	40.00	20	1600
158	4	4	1.41	1.00	100.00	50.00	21	1600
159	4	4	1.41	1.00	100.00	50.00	22	1600
160	4	4	1.41	1.00	100.00	50.00	23	1600
161	4	3	0.71	0.50	100.00	50.00	24	1600
162	3	3	1.00	1.00	75.00	66.67	25	1600
163	3	2	0.71	0.50	75.00	75.00	26	1600
164	3	2	0.71	0.50	75.00	75.00	27	1600
165	3	2	0.71	0.50	75.00	75.00	28	1600
166	3	2	0.71	0.50	75.00	75.00	29	1600
167	2	1	1.58	1.50	50.00	50.00	30	1600
168	1	1	2.24	2.00	25.00	25.00	31	1600
169	1	0	2.55	2.50	25.00	25.00	32	1600
170	1	0	2.55	2.50	25.00	25.00	33	1600
171	5	6	2.92	2.50	80.00	40.00	15	1650
172	5	6	2.92	2.50	80.00	40.00	16	1650
173	5	6	2.92	2.50	80.00	40.00	17	1650
174	5	6	2.92	2.50	80.00	40.00	18	1650
175	5	6	2.92	2.50	80.00	40.00	19	1650
176	5	5	2.24	2.00	80.00	40.00	20	1650
177	4	4	1.41	1.00	100.00	50.00	21	1650
178	4	4	1.41	1.00	100.00	50.00	22	1650
179	4	4	1.41	1.00	100.00	50.00	23	1650
180	4	3	0.71	0.50	100.00	50.00	24	1650
181	3	3	1.00	1.00	75.00	66.67	25	1650
182	3	2	0.71	0.50	75.00	75.00	26	1650
183	3	2	0.71	0.50	75.00	75.00	27	1650
184	3	2	0.71	0.50	75.00	75.00	28	1650
185	3	2	0.71	0.50	75.00	75.00	29	1650
186	2	1	1.58	1.50	50.00	50.00	30	1650
187	1	1	2.24	2.00	25.00	25.00	31	1650
188	1	0	2.55	2.50	25.00	25.00	32	1650
189	1	0	2.55	2.50	25.00	25.00	33	1650
190	5	6	2.92	2.50	80.00	40.00	15	1700
191	5	6	2.92	2.50	80.00	40.00	16	1700
192	5	6	2.92	2.50	80.00	40.00	17	1700
193	5	6	2.92	2.50	80.00	40.00	18	1700
194	5	6	2.92	2.50	80.00	40.00	19	1700
195	5	5	2.24	2.00	80.00	40.00	20	1700
196	4	4	1.41	1.00	100.00	50.00	21	1700
197	4	4	1.41	1.00	100.00	50.00	22	1700
198	4	4	1.41	1.00	100.00	50.00	23	1700
199	4	3	0.71	0.50	100.00	50.00	24	1700
200	3	3	1.00	1.00	75.00	66.67	25	1700
201	3	2	0.71	0.50	75.00	75.00	26	1700
202	3	2	0.71	0.50	75.00	75.00	27	1700
203	3	2	0.71	0.50	75.00	75.00	28	1700
204	3	2	0.71	0.50	75.00	75.00	29	1700
205	2	1	1.58	1.50	50.00	50.00	30	1700
206	1	1	2.24	2.00	25.00	25.00	31	1700
207	1	0	2.55	2.50	25.00	25.00	32	1700
208	1	0	2.55	2.50	25.00	25.00	33	1700
209	5	6	2.92	2.50	80.00	40.00	15	1750
210	5	6	2.92	2.50	80.00	40.00	16	1750
211	5	6	2.92	2.50	80.00	40.00	17	1750
212	5	6	2.92	2.50	80.00	40.00	18	1750
213	5	6	2.92	2.50	80.00	40.00	19	1750
214	5	5	2.24	2.00	80.00	40.00	20	1750
215	4	4	1.41	1.00	100.00	50.00	21	1750
216	4	4	1.41	1.00	100.00	50.00	22	1750
217	4	4	1.41	1.00	100.00	50.00	23	1750
218	4	3	0.71	0.50	100.00	50.00	24	1750
219	3	3	1.00	1.00	75.00	66.67	25	1750
220	3	2	0.71	0.50	75.00	75.00	26	1750
221	3	2	0.71	0.50	75.00	75.00	27	1750
222	3	2	0.71	0.50	75.00	75.00	28	1750
223	3	2	0.71	0.50	75.00	75.00	29	1750
224	2	1	1.58	1.50	50.00	50.00	30	1750
225	1	1	2.24	2.00	25.00	25.00	31	1750
226	1	0	2.55	2.50	25.00	25.00	32	1750
227	1	0	2.55	2.50	25.00	25.00	33	1750
228	5	6	2.92	2.50	80.00	40.00	15	1800
229	5	6	2.92	2.50	80.00	40.00	16	1800
230	5	6	2.92	2.50	80.00	40.00	17	1800
231	5	6	2.92	2.50	80.00	40.00	18	1800
232	5	6	2.92	2.50	80.00	40.00	19	1800
233	5	5	2.24	2.00	80.00	40.00	20	1800
234	4	4	1.41	1.00	100.00	50.00	21	1800
235	4	4	1.41	1.00	100.00	50.00	22	1800
236	4	4	1.41	1.00	100.00	50.00	23	1800
237	4	3	0.71	0.50	100.00	50.00	24	1800
238	3	3	1.00	1.00	75.00	66.67	25	1800
239	3	2	0.71	0.50	75.00	75.00	26	1800
240	3	2	0.71	0.50	75.00	75.00	27	1800
241	3	2	0.71	0.50	75.00	75.00	28	1800
242	3	2	0.71	0.50	75.00	75.00	29	1800
243	2	1	1.58	1.50	50.00	50.00	30	1800
244	1	1	2.24	2.00	25.00	25.00	31	1800
245	1	0	2.55	2.50	25.00	25.00	32	1800
246	1	0	2.55	2.50	25.00	25.00	33	1800
247	5	6	2.92	2.50	80.00	40.00	15	1850
248	5	6	2.92	2.50	80.00	40.00	16	1850
249	5	6	2.92	2.50	80.00	40.00	17	1850
250	5	6	2.92	2.50	80.00	40.00	18	1850
251	5	6	2.92	2.50	80.00	40.00	19	1850
252	5	5	2.24	2.00	80.00	40.00	20	1850
253	4	4	1.41	1.00	100.00	50.00	21	1850
254	4	4	1.41	1.00	100.00	50.00	22	1850
255	4	4	1.41	1.00	100.00	50.00	23	1850
256	4	3	0.71	0.50	100.00	50.00	24	1850
257	3	3	1.00	1.00	75.00	66.67	25	1850
258	3	2	0.71	0.50	75.00	75.00	26	1850
259	3	2	0.71	0.50	75.00	75.00	27	1850
260	3	2	0.71	0.50	75.00	75.00	28	1850
261	3	2	0.71	0.50	75.00	75.00	29	1850
262	2	1	1.58	1.50	50.00	50.00	30	1850
263	1	1	2.24	2.00	25.00	25.00	31	1850
264	1	0	2.55	2.50	25.00	25.00	32	1850
265	1	0	2.55	2.50	25.00	25.00	33	1850
266	5	6	2.92	2.50	80.00	40.00	15	1900
267	5	6	2.92	2.50	80.00	40.00	16	1900
268	5	6	2.92	2.50	80.00	40.00	17	1900
269	5	6	2.92	2.50	80.00	40.00	18	1900
270	5	6	2.92	2.50	80.00	40.00	19	1900
271	5	5	2.24	2.00	80.00	40.00	20	1900
272	4	4	1.41	1.00	100.00	50.00	21	1900
273	4	4	1.41	1.00	100.00	50.00	22	1900
274	4	4	1.41	1.00	100.00	50.00	23	1900
275	4	3	0.71	0.50	100.00	50.00	24	1900
276	3	3	1.00	1.00	75.00	66.67	25	1900
277	3	2	0.71	0.50	75.00	75.00	26	1900
278	3	2	0.71	0.50	75.00	75.00	27	1900
279	3	2	0.71	0.50	75.00	75.00	28	1900
280	3	2	0.71	0.50	75.00	75.00	29	1900
281	2	1	1.58	1.50	50.00	50.00	30	1900
282	1	1	2.24	2.00	25.00	25.00	31	1900
283	1	0	2.55	2.50	25.00	25.00	32	1900
284	1	0	2.55	2.50	25.00	25.00	33	1900
