	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	enough_zero	delta
42	18	22	3.54	2.50	100.00	94.44	20	1350
43	17	19	1.58	1.50	94.44	100.00	21	1350
44	16	18	1.58	1.50	88.89	106.25	22	1350
45	13	13	4.53	4.50	72.22	72.22	23	1350
46	12	11	6.00	6.00	66.67	66.67	24	1350
47	8	10	8.63	8.50	44.44	44.44	25	1350
48	6	8	10.61	10.50	33.33	33.33	26	1350
49	5	6	12.04	12.00	27.78	27.78	27	1350
50	4	4	13.51	13.50	22.22	22.22	28	1350
51	4	4	13.51	13.50	22.22	22.22	29	1350
52	3	4	14.04	14.00	16.67	16.67	30	1350
53	3	4	14.04	14.00	16.67	16.67	31	1350
54	3	3	14.51	14.50	16.67	16.67	32	1350
55	1	2	16.03	16.00	5.56	5.56	33	1350
56	19	22	3.61	3.00	94.74	89.47	20	1400
57	18	19	1.41	1.00	100.00	94.44	21	1400
58	17	18	1.00	1.00	94.44	100.00	22	1400
59	13	13	4.53	4.50	72.22	72.22	23	1400
60	12	11	6.00	6.00	66.67	66.67	24	1400
61	8	10	8.63	8.50	44.44	44.44	25	1400
62	7	8	10.05	10.00	38.89	38.89	26	1400
63	6	6	11.51	11.50	33.33	33.33	27	1400
64	5	4	13.00	13.00	27.78	27.78	28	1400
65	5	4	13.00	13.00	27.78	27.78	29	1400
66	4	4	13.51	13.50	22.22	22.22	30	1400
67	4	4	13.51	13.50	22.22	22.22	31	1400
68	3	3	14.51	14.50	16.67	16.67	32	1400
69	1	2	16.03	16.00	5.56	5.56	33	1400
70	19	22	3.61	3.00	94.74	89.47	20	1450
71	18	19	1.41	1.00	100.00	94.44	21	1450
72	17	18	1.00	1.00	94.44	100.00	22	1450
73	13	13	4.53	4.50	72.22	72.22	23	1450
74	12	11	6.00	6.00	66.67	66.67	24	1450
75	8	10	8.63	8.50	44.44	44.44	25	1450
76	7	8	10.05	10.00	38.89	38.89	26	1450
77	6	6	11.51	11.50	33.33	33.33	27	1450
78	5	4	13.00	13.00	27.78	27.78	28	1450
79	5	4	13.00	13.00	27.78	27.78	29	1450
80	4	4	13.51	13.50	22.22	22.22	30	1450
81	4	4	13.51	13.50	22.22	22.22	31	1450
82	3	3	14.51	14.50	16.67	16.67	32	1450
83	1	2	16.03	16.00	5.56	5.56	33	1450
84	19	22	3.61	3.00	94.74	89.47	20	1500
85	18	19	1.41	1.00	100.00	94.44	21	1500
86	17	18	1.00	1.00	94.44	100.00	22	1500
87	13	13	4.53	4.50	72.22	72.22	23	1500
88	12	11	6.00	6.00	66.67	66.67	24	1500
89	8	10	8.63	8.50	44.44	44.44	25	1500
90	7	8	10.05	10.00	38.89	38.89	26	1500
91	6	6	11.51	11.50	33.33	33.33	27	1500
92	5	4	13.00	13.00	27.78	27.78	28	1500
93	5	4	13.00	13.00	27.78	27.78	29	1500
94	4	4	13.51	13.50	22.22	22.22	30	1500
95	4	4	13.51	13.50	22.22	22.22	31	1500
96	3	3	14.51	14.50	16.67	16.67	32	1500
97	1	2	16.03	16.00	5.56	5.56	33	1500
98	20	22	3.81	3.50	90.00	85.00	20	1550
99	19	19	1.58	1.50	94.74	89.47	21	1550
100	17	18	1.00	1.00	94.44	100.00	22	1550
101	13	13	4.53	4.50	72.22	72.22	23	1550
102	12	11	6.00	6.00	66.67	66.67	24	1550
103	8	10	8.63	8.50	44.44	44.44	25	1550
104	7	8	10.05	10.00	38.89	38.89	26	1550
105	6	6	11.51	11.50	33.33	33.33	27	1550
106	5	4	13.00	13.00	27.78	27.78	28	1550
107	5	4	13.00	13.00	27.78	27.78	29	1550
108	4	4	13.51	13.50	22.22	22.22	30	1550
109	4	4	13.51	13.50	22.22	22.22	31	1550
110	3	3	14.51	14.50	16.67	16.67	32	1550
111	1	2	16.03	16.00	5.56	5.56	33	1550
112	20	22	3.81	3.50	90.00	85.00	20	1600
113	19	19	1.58	1.50	94.74	89.47	21	1600
114	17	18	1.00	1.00	94.44	100.00	22	1600
115	13	13	4.53	4.50	72.22	72.22	23	1600
116	12	11	6.00	6.00	66.67	66.67	24	1600
117	8	10	8.63	8.50	44.44	44.44	25	1600
118	7	8	10.05	10.00	38.89	38.89	26	1600
119	6	6	11.51	11.50	33.33	33.33	27	1600
120	5	4	13.00	13.00	27.78	27.78	28	1600
121	5	4	13.00	13.00	27.78	27.78	29	1600
122	4	4	13.51	13.50	22.22	22.22	30	1600
123	4	4	13.51	13.50	22.22	22.22	31	1600
124	3	3	14.51	14.50	16.67	16.67	32	1600
125	1	2	16.03	16.00	5.56	5.56	33	1600
