	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	enough_zero	delta
198	3	5	2.83	2.00	42.86	42.86	23	1700
199	3	5	2.83	2.00	42.86	42.86	24	1700
200	3	4	2.92	2.50	42.86	42.86	25	1700
201	3	2	3.54	3.50	42.86	42.86	26	1700
202	3	2	3.54	3.50	42.86	42.86	27	1700
203	3	2	3.54	3.50	42.86	42.86	28	1700
204	3	2	3.54	3.50	42.86	42.86	29	1700
205	2	2	4.12	4.00	28.57	28.57	30	1700
206	2	2	4.12	4.00	28.57	28.57	31	1700
207	0	1	5.70	5.50	0.00	0.00	32	1700
208	0	0	6.08	6.00	0.00	0.00	33	1700
209	8	9	2.92	2.50	87.50	62.50	15	1750
210	8	6	1.00	1.00	87.50	62.50	16	1750
211	8	6	1.00	1.00	87.50	62.50	17	1750
212	8	6	1.00	1.00	87.50	62.50	18	1750
213	8	6	1.00	1.00	87.50	62.50	19	1750
214	5	5	1.41	1.00	71.43	71.43	20	1750
215	5	5	1.41	1.00	71.43	71.43	21	1750
216	3	5	2.83	2.00	42.86	42.86	22	1750
217	3	5	2.83	2.00	42.86	42.86	23	1750
218	3	5	2.83	2.00	42.86	42.86	24	1750
219	3	4	2.92	2.50	42.86	42.86	25	1750
220	3	2	3.54	3.50	42.86	42.86	26	1750
221	3	2	3.54	3.50	42.86	42.86	27	1750
222	3	2	3.54	3.50	42.86	42.86	28	1750
223	3	2	3.54	3.50	42.86	42.86	29	1750
224	2	2	4.12	4.00	28.57	28.57	30	1750
225	2	2	4.12	4.00	28.57	28.57	31	1750
226	0	1	5.70	5.50	0.00	0.00	32	1750
227	0	0	6.08	6.00	0.00	0.00	33	1750
228	8	9	2.92	2.50	87.50	62.50	15	1800
229	8	6	1.00	1.00	87.50	62.50	16	1800
230	8	6	1.00	1.00	87.50	62.50	17	1800
231	8	6	1.00	1.00	87.50	62.50	18	1800
232	8	6	1.00	1.00	87.50	62.50	19	1800
233	5	5	1.41	1.00	71.43	71.43	20	1800
234	5	5	1.41	1.00	71.43	71.43	21	1800
235	3	5	2.83	2.00	42.86	42.86	22	1800
236	3	5	2.83	2.00	42.86	42.86	23	1800
237	3	5	2.83	2.00	42.86	42.86	24	1800
238	3	4	2.92	2.50	42.86	42.86	25	1800
239	3	2	3.54	3.50	42.86	42.86	26	1800
240	3	2	3.54	3.50	42.86	42.86	27	1800
241	3	2	3.54	3.50	42.86	42.86	28	1800
