	IN	OUT	RMSE	MAE	span	delta
299	5	3	0.71	0.50	900	1650
300	5	3	0.71	0.50	950	1650
301	5	3	0.71	0.50	1000	1650
302	5	3	0.71	0.50	1050	1650
303	5	3	0.71	0.50	1100	1650
304	5	3	0.71	0.50	1150	1650
305	5	3	0.71	0.50	1200	1650
306	4	2	0.71	0.50	400	1700
307	5	2	0.00	0.00	450	1700
308	5	2	0.00	0.00	500	1700
309	5	2	0.00	0.00	550	1700
310	5	2	0.00	0.00	600	1700
311	5	2	0.00	0.00	650	1700
312	5	2	0.00	0.00	700	1700
313	5	3	0.71	0.50	750	1700
314	5	3	0.71	0.50	800	1700
315	5	3	0.71	0.50	850	1700
316	5	3	0.71	0.50	900	1700
317	5	3	0.71	0.50	950	1700
318	5	3	0.71	0.50	1000	1700
319	5	3	0.71	0.50	1050	1700
320	5	3	0.71	0.50	1100	1700
321	5	3	0.71	0.50	1150	1700
322	5	3	0.71	0.50	1200	1700
323	4	2	0.71	0.50	400	1750
324	5	2	0.00	0.00	450	1750
325	5	2	0.00	0.00	500	1750
326	5	2	0.00	0.00	550	1750
327	5	2	0.00	0.00	600	1750
328	5	2	0.00	0.00	650	1750
329	5	2	0.00	0.00	700	1750
330	5	3	0.71	0.50	750	1750
331	5	3	0.71	0.50	800	1750
332	5	3	0.71	0.50	850	1750
333	5	3	0.71	0.50	900	1750
334	5	3	0.71	0.50	950	1750
335	5	3	0.71	0.50	1000	1750
336	5	3	0.71	0.50	1050	1750
337	5	3	0.71	0.50	1100	1750
338	5	3	0.71	0.50	1150	1750
339	5	3	0.71	0.50	1200	1750
